Début d'événement;Type d'événement;Ident Type;Lieu de l'événement;Nom Organisme;Type d'organisme;Ident Organisme;Identifiant;Etat;Theme;Style;Categorie;Genre;Ident Genre;Titre;Texte Début;Texte Milieu;Texte Fin;Commune;Département;Code INSEE;Code Postal;Coordonnées GPS;Date Modification;Jour 1;Jour 2;Jour 3;Jour Du;Jour Au;Jour Min;Jour Max;Tarif Mention Gratuit;Tarif Mention Payant;Tarif Général;Tarif Réduit;Tarif Autre;Photo 1 Chemin;Photo 1 Légende;Photo 1 Crédit;Photo 2 Chemin;Photo 2 Légende;Photo 2 Crédit;Photo 3 Chemin;Photo 3 Légende;Photo 3 Crédit;Age Minimum;Age Maximum;Duree;Mention Complet;Mention Accessible Handicap;Liens Billeteries;Liens Vidéos;Liens Sons;Liens Dossiers de Presse;Tags;Groupes;Texte Libre Court;Texte Libre Long
2016-12-17;Conférence;30;44/Nantes;Anne Ruesche;Autre organisme à but non lucratif;343708;5386767;V;Loisir;Voir visiter;Conférence;Conférence;150;Café-débat sur la surdouance avec l’écrivain Laurent Desmottes;Conférence.;Laurent Desmottes, Nantais, agrégé de physique et enseignant de grandes écoles, dont le QI dépasse les 150, livre son parcours dans son ouvrage intitulé « Surdoué et heureux... C’est possible ! ». Laurent Desmottes se réapproprie à juste titre la question de la douance.;Samedi 17 décembre, 10h, Le Flesselles, 3, allée Flesselles, Nantes. Gratuit. Contact : anneruesche@gmail.com;Nantes;44;44109;44000;47.21435, -1.55466;2016-12-14;2016-12-17;;;;;2016-12-17;2016-12-17;oui;non;;;;http://photos.infolocale.fr/infoLocale/annonce/2016/1213/5386767/_1.jpg;;;http://photos.infolocale.fr/infoLocale/annonce/2016/1213/5386767/_2.jpg;;;;;;;;120;False;Visuel;;;;;;;;On parle beaucoup des enfants précoces, mais peu de ce qu'ils deviennent à l'âge adulte. On écrit beaucoup sur les surdoués et sur leurs difficultés, mais on ne les entend jamais parler d'eux-mêmes, et encore moins de leur réussite. Alors, surdoué et heureux : est-ce possible ? Major de Grande École, agrégé de physique, enseignant en classes préparatoires, l'auteur, dont le QI est supérieur à 150, nous livre son témoignage de Haut Potentiel Intellectuel (HPI). La spécificité de l'ouvrage, articulé en trois parties - Itinéraire / Comment je fonctionne / Comment j'ai réussi à être heureux - est triple :Il est le premier du genre intégralement écrit par un HPI. Il parle des HPI adultes. Il se veut un message d'espoir, mais aussi un cri d'alarme visant à sensibiliser les pouvoirs publics et les dirigeants à la sous-utilisation de ces incroyables potentiels dans une société dont la complexité croissante justifierait pourtant amplement qu'on les sollicite. Être surdoué n'est pas avant tout une question de précocité, mais de différence. Les surdoués n'empruntent pas les chemins avant les autres : ils empruntent tout bonnement d'autres chemins. Être surdoué n'affecte pas seulement la sphère intellectuelle, souvent surinvestie, mais tout autant les sphères émotionnelle, artistique et relationnelle.				  Bienvenue dans l'univers d'un HPI ! Prêt ? Cinq, quatre, trois, deux, un, zéro : immersion !.
2016-12-07;Animation jeunes;11;44/Nantes;Hora;Association;320963;5363357;V;Loisir;Loisirs et sports;Animation loisirs jeunes;Animation;143;Yoga enfants et pré-ados;;4 thèmes pour découvrir le yoga à travers la détente, la respiration, développer un mental fort et un esprit clair. Le programme des ateliers est basé sur l'enseignement développé au RYE (rye-yoga.fr). 1er cours gratuit.;Mercredi 7, mercredi 14 décembre 2016, mercredi 4 janvier 2017, 17h à 18h, 30, rue Deshoulières, Nantes. Tarif 5€. Contact et réservation : 07 53 02 08 05, contact@yoga-rama.com, www.yoga-rama.com;Nantes;44;44109;44000;47.21825, -1.565676;2016-11-28;2016-12-07;2016-12-14;2017-01-04;;;2016-12-07;2017-01-04;non;oui;5;;;http://photos.infolocale.fr/infoLocale/annonce/2016/1127/5363357/_1.jpg;;;;;;;;;;;;;;;;;;;;;
2016-12-17;Spectacle;21;44/Nantes;théâtre du Sphinx;Association;18268;5382774;V;Loisir;Concerts, spectacles;Autres scènes;Humour;15;Nouveau départ par Kévin Robin;Humour.;Stand up. Avec une touchante sincérité Kevin confie doutes, motivations, observations et conclusions sur un monde qu'il ne comprend pas toujours.;Samedi 17 décembre, 19h, Théâtre du Sphinx, 9, rue Monteil, Nantes. Tarif entrée libre. Contact et réservation : 06 84 49 86 92, contact@theatredusphinx.com, http://www.theatredusphinx.com;Nantes;44;44109;44000;47.21357, -1.547972;2016-12-14;2016-12-17;;;;;2016-12-17;2016-12-17;non;oui;;;entrée libre;http://photos.infolocale.fr/infoLocale/annonce/2016/1211/5382774/_1.jpg;Kevin Robin;;http://photos.infolocale.fr/infoLocale/annonce/2016/1211/5382774/_2.jpg;Kevin Robin;;;;;;;;;;;;;;;;;
2016-12-17;Animation jeunes;11;44/Nantes;musée Jules-Verne;Équipement à but non lucratif (culture, sport et loisir);25647;5380345;V;Loisir;Loisirs et sports;Animation loisirs jeunes;Animation;143;Le tour du monde en 6 langues;;Atelier animé par l'association Evalap pour découvrir l'univers de Jules Verne et familiariser les enfants aux langues étrangères à travers des activités ludiques et artistiques.;Samedi 17 décembre, 15h à 16h30, Musée Jules-Verne, Nantes. Tarif enfants métropolitains 3 €/non-métropolitains 6 €. Inscription avant le 16 décembre. Contact : 02 40 69 72 52, musee-julesverne@nantesmetropole.fr, http://www.julesverne.nantesmetropole.fr;Nantes;44;44109;44000;47.20205, -1.577412;2016-12-08;2016-12-17;;;;;2016-12-17;2016-12-17;non;oui;;;enfants métropolitains 3 €/non-métropolitains 6 €;http://photos.infolocale.fr/infoLocale/annonce/2016/1208/5380345/_1.jpg;;;;;;;;;;;;;;;;;;;;;
2016-12-17;Spectacle;21;44/Nantes;K production;Équipement à but non lucratif (culture, sport et loisir);42927;4898179;V;Loisir;Concerts, spectacles;Autres scènes;Humour;15;Caroline Vigneaux;Humour.;Spectacle « Quitte la robe ».;Samedi 17 décembre, à 20h30, Cité des congrès, 5, quai Valmy, Nantes. Tarif 37€. Contact et réservation : 02 40 25 09 55, www.kproduction.fr.;Nantes;44;44109;44000;47.21314, -1.542703;2016-02-29;2016-12-17;;;;;2016-12-17;2016-12-17;non;oui;37;;;http://photos.infolocale.fr/infoLocale/annonce/2016/0106/4898179/_1.jpg;;;;;;;;;;;;;;;;;;;;;
2016-11-24;Exposition, musée;23;44/Nantes;le 56;Association;300825;5352214;V;Loisir;Voir visiter;Exposition, musée;Exposition;149;56 chandelles;Exposition.;Avec Raphaël B., Aurélia Guérin, Anne Hervy, Sylvie Legendre, Florence Launay, Marie-Claire Macé, Hélène Mathorel et Sandrine Merrien. Vernissage jeudi 24 nevembre à 19 h 30.;Du jeudi 24 novembre au dimanche 18 décembre, Galerie Le 56, 56, rue de l'Hermitage, Nantes. Gratuit. Contact : 06 66 80 49 96, anne_hervy@yahoo.fr, https://www.facebook.com/galeriele56/;Nantes;44;44109;44000;47.20244, -1.576546;2016-11-21;;;;2016-11-24;2016-12-18;2016-11-24;2016-12-18;oui;non;;;;http://photos.infolocale.fr/infoLocale/annonce/2016/1118/5352214/_1.jpg;;;;;;;;;;;;;Auditif|Visuel|Mental;;;;;;;;
2016-12-16;Concert;15;44/Nantes;Toxxic productions;Association;294951;5361664;V;Loisir;Concerts, spectacles;Concert, spectacle musical;Rock;161;Toxxic TV;Rock. Vendredi 16 décembre, 20h, Chez Madame-Rêve, 2, allée Jean-Bart, Nantes. Gratuit.;;;Nantes;44;44109;44000;47.21442, -1.555273;2016-12-08;2016-12-16;;;;;2016-12-16;2016-12-16;oui;non;;;;http://photos.infolocale.fr/infoLocale/annonce/2016/1125/5361664/_1.jpg;Toxxic TV;Dïe Morg;;;;;;;;;;;;;;;;;;;
2016-12-15;Concert;15;44/Nantes;Helena Cueto compagnie flamenca;Association;342287;5331897;V;Loisir;Concerts, spectacles;Concert, spectacle musical;Musiques du monde;25;Soirée flamenco, compagnie Flamenca;Musiques du monde.;Spectacle traditionnel flamenco chaque soir avec Emilio Cortes au chant, Albant Lorini à la guitare, Helena Cueto à la danse. En plus : stages de chant, danse et palmas, du 15 au 18 décembre inclus, réservation au 0679313746 ou info@helenacueto.com.;Du jeudi 15 au dimanche 18 décembre, 20h30, Théâtre de la Ruche, 8, rue Félibien, Nantes. Tarif 12€, réduit 8€, autre : Enfant et adhérent 5 €. Réservation : 02 51 80 89 13, resa@laruchenantes.fr, http://www.helenacueto.com;Nantes;44;44109;44000;47.22102, -1.563876;2016-11-21;;;;2016-12-15;2016-12-18;2016-12-15;2016-12-18;non;oui;12;8;Enfant et adhérent 5 €;http://photos.infolocale.fr/infoLocale/annonce/2016/1104/5331897/_1.jpg;;;http://photos.infolocale.fr/infoLocale/annonce/2016/1104/5331897/_2.jpg;;;;;;;;90;False;Auditif|Visuel|Mental|Moteur;http://theatrelaruche.wixsite.com/accueil/sign_up;https://www.youtube.com/watch?v=u7F5g05JgI4;;;chant|danse|famille|flamenco|guitare|musique du monde|spectacle|théâtre;;;
2016-12-16;Conférence;30;44/Nantes;passage Sainte-Croix;Équipement à but non lucratif (culture, sport et loisir);179399;5302431;V;Loisir;Voir visiter;Conférence;Conférence;150;Café théo: Anne Lemoine: de l'eau et des mythes;Conférence.;Insaisissable, multiforme, l'eau indispensable à la vie, l'eau qui sans cesse se métamorphose fut souvent perçue comme une bénédiction des dieux. A travers les continents, l'eau abreuve les récits mythiques liés à la naissance du monde, à l'apparition de la vie, à l'émergence de l'Homme.;Vendredi 16 décembre, 12h30, Passage Sainte-Croix, 9, rue de la Bâclerie, quartier Bouffay, Nantes. Gratuit. Contact : 02 51 83 23 75, accueil.passage@gmail.com, http://www.passagesaintecroix.fr;Nantes;44;44109;44000;47.21514, -1.55368;2016-10-19;2016-12-16;;;;;2016-12-16;2016-12-16;oui;non;;;;;;;;;;;;;;;;;Moteur;;;;;;;;
2016-09-06;Atelier, activité de loisirs;31;44/Nantes;À l'eau pastels;Association;244150;5221333;V;Loisir;Loisirs et sports;Atelier, activité de loisirs;Dessin, peinture;139;Dessin, peinture;;Enfants ados prépas adultes, au crayon, au pinceau, en modelage, dessin, couleur, volume.;Du mardi 6 septembre 2016 au vendredi 30 juin 2017, 10h à 22h, Atelier de l'ermitage, 5, square C. Guiné, rue du roi Baco, Nantes. Tarif 8€, réduit 6€. Contact et réservation : 02 40 69 51 91, 06 15 82 37 41, marianne.roux@yahoo.fr, dessin-nantes.com;Nantes;44;44109;44000;47.22396, -1.540806;2016-08-26;;;;2016-09-06;2017-06-30;2016-09-06;2017-06-30;non;oui;8;6;;;;;;;;;;;;;;;;;;;;;;;
